Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Jonathan Taylor,IND,22,RB,12,12,209,1205,14,74,83,5.8,100.4,3
Joe Mixon,CIN,25,RB,11,11,208,924,11,46,32,4.4,84.0,1
Najee Harris,PIT,23,RB,11,11,196,708,5,40,20,3.6,64.4,0
Ezekiel Elliott,DAL,26,RB,12,12,173,765,8,41,47,4.4,63.8,1
Damien Harris,NWE,24,RB,11,11,154,643,8,35,35,4.2,58.5,2
Austin Ekeler,LAC,26,RB,11,11,135,604,7,36,28,4.5,54.9,2
Melvin Gordon,DEN,28,RB,11,11,135,605,5,32,70,4.5,55.0,2
Aaron Jones,GNB,27,RB,11,11,133,564,3,26,57,4.2,51.3,2
Jalen Hurts,PHI,23,QB,12,12,122,695,8,50,31,5.7,57.9,6
Josh Allen,BUF,25,QB,11,11,69,383,3,30,34,5.6,34.8,6
Daniel Jones,NYG,24,QB,11,11,62,298,2,16,46,4.8,27.1,7
Trevor Lawrence,JAX,22,QB,11,11,45,231,2,13,12,5.1,21.0,6
Patrick Mahomes,KAN,26,QB,11,11,44,238,1,18,23,5.4,21.6,6
Justin Herbert,LAC,23,QB,11,11,43,243,2,19,36,5.7,22.1,1
Carson Wentz,IND,29,QB,12,12,38,159,1,12,18,4.2,13.3,7
Ryan Tannehill,TEN,33,QB,12,12,37,196,5,23,28,5.3,16.3,7
Dak Prescott,DAL,28,QB,11,11,30,91,1,2,21,3.0,8.3,8
Derek Carr,LVR,30,QB,11,11,27,73,0,6,22,2.7,6.6,8
Mac Jones,NWE,23,QB,12,12,27,71,0,14,13,2.6,5.9,4
Baker Mayfield,CLE,26,QB,11,11,27,93,1,6,12,3.4,8.5,6
Joe Burrow,CIN,25,QB,11,11,25,63,1,8,9,2.5,5.7,3
Deebo Samuel,SFO,25,WR,11,11,25,203,5,11,49,8.1,18.5,2
Aaron Rodgers,GNB,38,QB,11,11,24,76,3,8,18,3.2,6.9,2
Matthew Stafford,LAR,33,QB,11,11,24,37,0,5,12,1.5,3.4,2
Teddy Bridgewater,DEN,29,QB,11,11,23,79,2,11,13,3.4,7.2,1
Matt Ryan,ATL,36,QB,11,11,21,43,1,3,17,2.0,3.9,5
Tom Brady,TAM,44,QB,11,11,18,53,1,9,13,2.9,4.8,3
Kirk Cousins,MIN,33,QB,11,11,18,69,1,6,29,3.8,6.3,6
Tyreek Hill,KAN,27,WR,11,11,8,94,0,4,33,11.8,8.5,2
D.J. Moore,CAR,24,WR,12,12,7,35,0,3,14,5.0,2.9,1
Ja'Marr Chase,CIN,21,WR,11,11,6,15,0,2,10,2.5,1.4,2
CeeDee Lamb,DAL,22,WR,11,11,6,63,0,3,33,10.5,5.7,0
Chris Godwin,TAM,25,WR,11,11,3,12,1,3,7,4.0,1.1,2
Justin Jefferson,MIN,22,WR,11,11,3,10,0,1,11,3.3,0.9,1
Michael Pittman Jr.,IND,24,WR,12,12,2,8,0,0,5,4.0,0.7,1
Kalif Raymond,DET,27,WR,11,11,2,10,0,1,9,5.0,0.9,0
Jaylen Waddle,MIA,23,WR,12,12,2,3,1,1,2,1.5,0.3,2
Robby Anderson,CAR,28,WR,12,11,1,3,0,0,3,3.0,0.3,0
Brandin Cooks,HOU,28,WR,11,11,1,5,0,0,5,5.0,0.5,0
Mike Evans,TAM,28,WR,11,11,1,10,0,1,10,10.0,0.9,0
Travis Kelce,KAN,32,TE,11,11,1,4,1,1,4,4.0,0.4,1
Cole Kmet,CHI,22,TE,11,11,1,0,0,0,0,0.0,0.0,0
Cooper Kupp,LAR,28,WR,11,11,1,-5,0,0,-5,-5.0,-0.5,0
Terry McLaurin,WAS,26,WR,11,11,1,12,0,1,12,12.0,1.1,0
Zach Pascal,IND,27,WR,12,12,1,9,0,0,9,9.0,0.8,1
Adam Thielen,MIN,31,WR,11,11,1,2,0,0,2,2.0,0.2,1
